id,text,officer_id,priority,eta_days
CMP0200,Please look into this urgently. Manhole cover missing on the street is dangerous Many complaints already filed.,OFF001,High,3
CMP0201,This problem exists since many months. Potholes on highway causing vehicle damage Many complaints already filed.,OFF001,High,4
CMP0202,Kindly take immediate action. Children are falling sick due to contaminated water,OFF004,High,3
CMP0203,This problem exists since many months. Suspicious activity near abandoned building,OFF005,Medium,4
CMP0204,This problem exists since many months. Local train always delayed causing problems Residents are very unhappy.,OFF007,Medium,9
CMP0205,Auto drivers are overcharging passengers Please resolve soon.,OFF007,Low,11
CMP0206,This is affecting many families. There is a dengue outbreak in our ward Please resolve soon.,OFF006,High,1
CMP0207,Please look into this urgently. Expired medicines found at government hospital Please resolve soon.,OFF006,High,1
CMP0208,Kindly take immediate action. Theft of manhole covers reported multiple times Many complaints already filed.,OFF005,Medium,7
CMP0209,Please look into this urgently. Water meter is giving wrong readings Please resolve soon.,OFF004,Low,15
CMP0210,Water meter is giving wrong readings,OFF004,Low,13
CMP0211,We have complained before but no action. Mosquito breeding in stagnant water near park Many complaints already filed.,OFF006,Medium,4
CMP0212,Please look into this urgently. Fly infestation near meat market area Many complaints already filed.,OFF006,High,2
CMP0213,We have complained before but no action. Power cuts lasting 8 hours daily in our area Please resolve soon.,OFF003,High,2
CMP0214,This is affecting many families. Water supply is disrupted in sector 5 since 3 days This is urgent.,OFF004,High,3
CMP0215,Please look into this urgently. Bus stand has no seating and no shelter,OFF007,Low,31
CMP0216,We have complained before but no action. Water tank on rooftop is cracked and leaking Many complaints already filed.,OFF004,Medium,7
CMP0217,Please look into this urgently. Bus stand has no seating and no shelter Many complaints already filed.,OFF007,Low,29
CMP0218,Fly infestation near meat market area This is urgent.,OFF006,High,3
CMP0219,Please look into this urgently. Streetlights on MG Road are not working for the past week Please resolve soon.,OFF003,Medium,4
CMP0220,This problem exists since many months. Public toilet near bus stand is extremely dirty Residents are very unhappy.,OFF002,Medium,3
CMP0221,This problem exists since many months. Drainage blocked causing flooding in low areas,OFF001,High,3
CMP0222,This problem exists since many months. Water is coming brown and smelly from taps,OFF004,High,4
CMP0223,Kindly take immediate action. There is a dengue outbreak in our ward This is urgent.,OFF006,High,3
CMP0224,We have complained before but no action. Traffic signals not working at main crossing Residents are very unhappy.,OFF007,High,2
CMP0225,Kindly take immediate action. Traffic signals not working at main crossing,OFF007,High,3
CMP0226,This problem exists since many months. Water tank on rooftop is cracked and leaking Residents are very unhappy.,OFF004,Medium,7
CMP0227,We have complained before but no action. There is a dengue outbreak in our ward This is urgent.,OFF006,High,2
CMP0228,Kindly take immediate action. Illegal dumping of industrial waste in the river Many complaints already filed.,OFF008,High,1
CMP0229,Kindly take immediate action. Encroachment on public footpath by shops,OFF005,Medium,6
CMP0230,This problem exists since many months. Noise pollution from nearby factory at night This is urgent.,OFF008,Medium,7
CMP0231,Please look into this urgently. Bus stand has no seating and no shelter Please resolve soon.,OFF007,Low,31
CMP0232,This is affecting many families. Expired medicines found at government hospital This is urgent.,OFF006,High,4
CMP0233,Please look into this urgently. Power line hanging dangerously low over road Residents are very unhappy.,OFF003,High,1
CMP0234,We have complained before but no action. Sewage water overflowing on the main road Many complaints already filed.,OFF002,High,1
CMP0235,Kindly take immediate action. Expired medicines found at government hospital Residents are very unhappy.,OFF006,High,2
CMP0236,Kindly take immediate action. Illegal dumping of industrial waste in the river Residents are very unhappy.,OFF008,High,2
CMP0237,Power line hanging dangerously low over road This is urgent.,OFF003,High,2
CMP0238,Kindly take immediate action. Theft of manhole covers reported multiple times,OFF005,Medium,5
CMP0239,This problem exists since many months. Construction dust causing breathing problems Please resolve soon.,OFF008,High,5
CMP0240,This problem exists since many months. Noise pollution from nearby factory at night Many complaints already filed.,OFF008,Medium,5
CMP0241,We have complained before but no action. Stray dogs are attacking people near the school,OFF005,High,2
CMP0242,We have complained before but no action. Garbage vehicle not coming to our street anymore Residents are very unhappy.,OFF002,Medium,5
CMP0243,This problem exists since many months. Suspicious activity near abandoned building Many complaints already filed.,OFF005,Medium,5
CMP0244,Kindly take immediate action. Power cuts lasting 8 hours daily in our area Many complaints already filed.,OFF003,High,5
CMP0245,We have complained before but no action. Trees fallen on road after storm blocking traffic Many complaints already filed.,OFF001,High,3
CMP0246,We have complained before but no action. Construction dust causing breathing problems Please resolve soon.,OFF008,High,3
CMP0247,Kindly take immediate action. Local train always delayed causing problems Please resolve soon.,OFF007,Medium,12
CMP0248,We have complained before but no action. Garbage has not been collected from our colony for 10 days,OFF002,High,4
CMP0249,Dead animals lying on road not removed Please resolve soon.,OFF002,High,3
CMP0250,This is affecting many families. Garbage has not been collected from our colony for 10 days Many complaints already filed.,OFF002,High,3
CMP0251,Kindly take immediate action. Bus number 45 has not been running for two weeks Residents are very unhappy.,OFF007,Medium,9
CMP0252,The road in front of my house has a large pothole causing accidents Please resolve soon.,OFF001,High,5
CMP0253,Please look into this urgently. Power cuts lasting 8 hours daily in our area,OFF003,High,4
CMP0254,This problem exists since many months. Traffic signals not working at main crossing,OFF007,High,1
CMP0255,Traffic signals not working at main crossing Many complaints already filed.,OFF007,High,4
CMP0256,Hospital waste being dumped in open area,OFF006,High,1
CMP0257,Please look into this urgently. No electricity for 2 days after last night storm Please resolve soon.,OFF003,High,3
CMP0258,Mosquito breeding in stagnant water near park Residents are very unhappy.,OFF006,Medium,6
CMP0259,Bus number 45 has not been running for two weeks Residents are very unhappy.,OFF007,Medium,9
CMP0260,Sewage water overflowing on the main road This is urgent.,OFF002,High,1
CMP0261,We have complained before but no action. Garbage has not been collected from our colony for 10 days Residents are very unhappy.,OFF002,High,3
CMP0262,We have complained before but no action. Trees fallen on road after storm blocking traffic,OFF001,High,1
CMP0263,This problem exists since many months. Manhole cover missing on the street is dangerous,OFF001,High,1
CMP0264,This is affecting many families. Sewage water overflowing on the main road Residents are very unhappy.,OFF002,High,4
CMP0265,No electricity for 2 days after last night storm Please resolve soon.,OFF003,High,4
CMP0266,This is affecting many families. Smoke from unauthorized factory affecting lungs Please resolve soon.,OFF008,High,4
CMP0267,Kindly take immediate action. Transformer in our locality is making sparks This is urgent.,OFF003,High,1
CMP0268,We have complained before but no action. Construction dust causing breathing problems Many complaints already filed.,OFF008,High,3
CMP0269,Kindly take immediate action. Stray dogs are attacking people near the school This is urgent.,OFF005,High,2
CMP0270,Fly infestation near meat market area This is urgent.,OFF006,High,4
CMP0271,This is affecting many families. Suspicious activity near abandoned building,OFF005,Medium,5
CMP0272,This is affecting many families. Bus number 45 has not been running for two weeks,OFF007,Medium,8
CMP0273,We have complained before but no action. Local train always delayed causing problems This is urgent.,OFF007,Medium,9
CMP0274,We have complained before but no action. Water tank on rooftop is cracked and leaking Residents are very unhappy.,OFF004,Medium,4
CMP0275,Potholes on highway causing vehicle damage,OFF001,High,5
CMP0276,This problem exists since many months. Mosquito breeding in stagnant water near park This is urgent.,OFF006,Medium,4
CMP0277,This problem exists since many months. Noise pollution from nearby factory at night This is urgent.,OFF008,Medium,5
CMP0278,Bus number 45 has not been running for two weeks Residents are very unhappy.,OFF007,Medium,8
CMP0279,Please look into this urgently. Bus stand has no seating and no shelter Many complaints already filed.,OFF007,Low,31
CMP0280,Please look into this urgently. The footpath near market is broken and dangerous This is urgent.,OFF001,Medium,8
CMP0281,This is affecting many families. Theft of manhole covers reported multiple times Please resolve soon.,OFF005,Medium,5
CMP0282,We have complained before but no action. Encroachment on public footpath by shops Many complaints already filed.,OFF005,Medium,8
CMP0283,We have complained before but no action. Sewage water overflowing on the main road,OFF002,High,3
CMP0284,Please look into this urgently. Traffic signals not working at main crossing,OFF007,High,1
CMP0285,This is affecting many families. Power cuts lasting 8 hours daily in our area,OFF003,High,4
CMP0286,Kindly take immediate action. There is a dengue outbreak in our ward Residents are very unhappy.,OFF006,High,2
CMP0287,Please look into this urgently. Encroachment on public footpath by shops,OFF005,Medium,8
CMP0288,This problem exists since many months. Transformer in our locality is making sparks,OFF003,High,2
CMP0289,Bus number 45 has not been running for two weeks Please resolve soon.,OFF007,Medium,9
CMP0290,This problem exists since many months. Streetlights on MG Road are not working for the past week Many complaints already filed.,OFF003,Medium,6
CMP0291,This is affecting many families. No electricity for 2 days after last night storm Residents are very unhappy.,OFF003,High,4
CMP0292,Suspicious activity near abandoned building,OFF005,Medium,2
CMP0293,Please look into this urgently. The footpath near market is broken and dangerous Residents are very unhappy.,OFF001,Medium,8
CMP0294,Please look into this urgently. Power line hanging dangerously low over road Residents are very unhappy.,OFF003,High,1
CMP0295,This is affecting many families. Encroachment on public footpath by shops,OFF005,Medium,9
CMP0296,Electricity bill is much higher than usage Many complaints already filed.,OFF003,Low,16
CMP0297,Smoke from unauthorized factory affecting lungs Please resolve soon.,OFF008,High,4
CMP0298,Kindly take immediate action. Bus number 45 has not been running for two weeks Many complaints already filed.,OFF007,Medium,9
CMP0299,Please look into this urgently. Public toilet near bus stand is extremely dirty This is urgent.,OFF002,Medium,3
CMP0300,Kindly take immediate action. Bus stand has no seating and no shelter Please resolve soon.,OFF007,Low,31
CMP0301,Bus number 45 has not been running for two weeks This is urgent.,OFF007,Medium,8
CMP0302,Kindly take immediate action. Water supply is disrupted in sector 5 since 3 days This is urgent.,OFF004,High,2
CMP0303,Kindly take immediate action. Illegal dumping of industrial waste in the river Residents are very unhappy.,OFF008,High,2
CMP0304,Please look into this urgently. Potholes on highway causing vehicle damage Residents are very unhappy.,OFF001,High,5
CMP0305,This is affecting many families. Manhole cover missing on the street is dangerous Many complaints already filed.,OFF001,High,1
CMP0306,This problem exists since many months. Stray dogs are attacking people near the school Please resolve soon.,OFF005,High,1
CMP0307,We have complained before but no action. Mosquito breeding in stagnant water near park Please resolve soon.,OFF006,Medium,3
CMP0308,This is affecting many families. Public toilet near bus stand is extremely dirty Please resolve soon.,OFF002,Medium,4
CMP0309,Please look into this urgently. Water is coming brown and smelly from taps Residents are very unhappy.,OFF004,High,2
CMP0310,We have complained before but no action. The road in front of my house has a large pothole causing accidents Please resolve soon.,OFF001,High,4
CMP0311,This is affecting many families. Streetlights on MG Road are not working for the past week This is urgent.,OFF003,Medium,4
CMP0312,The footpath near market is broken and dangerous,OFF001,Medium,6
CMP0313,Kindly take immediate action. Stray dogs are attacking people near the school,OFF005,High,2
CMP0314,This problem exists since many months. Garbage vehicle not coming to our street anymore Residents are very unhappy.,OFF002,Medium,6
CMP0315,This is affecting many families. Garbage vehicle not coming to our street anymore Many complaints already filed.,OFF002,Medium,3
CMP0316,We have complained before but no action. Children are falling sick due to contaminated water,OFF004,High,1
CMP0317,Kindly take immediate action. Water supply is disrupted in sector 5 since 3 days,OFF004,High,4
CMP0318,Kindly take immediate action. Bus number 45 has not been running for two weeks,OFF007,Medium,6
CMP0319,We have complained before but no action. There is a dengue outbreak in our ward Many complaints already filed.,OFF006,High,1
CMP0320,This is affecting many families. Stray dogs are attacking people near the school This is urgent.,OFF005,High,2
CMP0321,This problem exists since many months. Dead animals lying on road not removed Many complaints already filed.,OFF002,High,2
CMP0322,This problem exists since many months. Construction dust causing breathing problems Many complaints already filed.,OFF008,High,5
CMP0323,Bus number 45 has not been running for two weeks Residents are very unhappy.,OFF007,Medium,7
CMP0324,Kindly take immediate action. Fly infestation near meat market area Please resolve soon.,OFF006,High,4
CMP0325,Kindly take immediate action. Traffic signals not working at main crossing,OFF007,High,4
CMP0326,We have complained before but no action. Bus number 45 has not been running for two weeks,OFF007,Medium,8
CMP0327,We have complained before but no action. Transformer in our locality is making sparks Please resolve soon.,OFF003,High,3
CMP0328,Please look into this urgently. Stray dogs are attacking people near the school Residents are very unhappy.,OFF005,High,1
CMP0329,Please look into this urgently. Fly infestation near meat market area This is urgent.,OFF006,High,2
CMP0330,Please look into this urgently. Expired medicines found at government hospital Many complaints already filed.,OFF006,High,3
CMP0331,Kindly take immediate action. Illegal dumping of industrial waste in the river This is urgent.,OFF008,High,4
CMP0332,We have complained before but no action. Water supply is disrupted in sector 5 since 3 days Many complaints already filed.,OFF004,High,3
CMP0333,Please look into this urgently. Trees fallen on road after storm blocking traffic Many complaints already filed.,OFF001,High,1
CMP0334,Power cuts lasting 8 hours daily in our area,OFF003,High,3
CMP0335,We have complained before but no action. Bus number 45 has not been running for two weeks Many complaints already filed.,OFF007,Medium,8
CMP0336,We have complained before but no action. Illegal dumping of industrial waste in the river Many complaints already filed.,OFF008,High,2
CMP0337,This problem exists since many months. Fly infestation near meat market area Many complaints already filed.,OFF006,High,1
CMP0338,Potholes on highway causing vehicle damage This is urgent.,OFF001,High,3
CMP0339,We have complained before but no action. Water is coming brown and smelly from taps This is urgent.,OFF004,High,3
CMP0340,Please look into this urgently. Trees fallen on road after storm blocking traffic Please resolve soon.,OFF001,High,1
CMP0341,Local train always delayed causing problems,OFF007,Medium,9
CMP0342,Power cuts lasting 8 hours daily in our area Residents are very unhappy.,OFF003,High,2
CMP0343,This is affecting many families. Children are falling sick due to contaminated water,OFF004,High,3
CMP0344,We have complained before but no action. Construction dust causing breathing problems Please resolve soon.,OFF008,High,4
CMP0345,Suspicious activity near abandoned building This is urgent.,OFF005,Medium,2
CMP0346,This is affecting many families. Water supply is disrupted in sector 5 since 3 days Please resolve soon.,OFF004,High,1
CMP0347,We have complained before but no action. There is a dengue outbreak in our ward,OFF006,High,3
CMP0348,This problem exists since many months. Power line hanging dangerously low over road,OFF003,High,3
CMP0349,This is affecting many families. Public toilet near bus stand is extremely dirty Many complaints already filed.,OFF002,Medium,2
CMP0350,Kindly take immediate action. Trees fallen on road after storm blocking traffic Residents are very unhappy.,OFF001,High,2
CMP0351,Kindly take immediate action. Smoke from unauthorized factory affecting lungs Many complaints already filed.,OFF008,High,3
CMP0352,This is affecting many families. Garbage has not been collected from our colony for 10 days,OFF002,High,1
CMP0353,This is affecting many families. The road in front of my house has a large pothole causing accidents This is urgent.,OFF001,High,3
CMP0354,We have complained before but no action. The footpath near market is broken and dangerous This is urgent.,OFF001,Medium,8
CMP0355,Please look into this urgently. Illegal dumping of industrial waste in the river,OFF008,High,4
CMP0356,This is affecting many families. Water is coming brown and smelly from taps,OFF004,High,2
CMP0357,This problem exists since many months. Garbage vehicle not coming to our street anymore This is urgent.,OFF002,Medium,3
CMP0358,Water tank on rooftop is cracked and leaking Residents are very unhappy.,OFF004,Medium,7
CMP0359,Kindly take immediate action. Streetlights on MG Road are not working for the past week Residents are very unhappy.,OFF003,Medium,6
CMP0360,Kindly take immediate action. Local train always delayed causing problems Many complaints already filed.,OFF007,Medium,12
CMP0361,We have complained before but no action. Theft of manhole covers reported multiple times Residents are very unhappy.,OFF005,Medium,7
CMP0362,We have complained before but no action. Streetlights on MG Road are not working for the past week Please resolve soon.,OFF003,Medium,7
CMP0363,Please look into this urgently. Electricity bill is much higher than usage,OFF003,Low,13
CMP0364,Kindly take immediate action. Manhole cover missing on the street is dangerous Many complaints already filed.,OFF001,High,3
CMP0365,Please look into this urgently. Children are falling sick due to contaminated water,OFF004,High,2
CMP0366,This is affecting many families. Traffic signals not working at main crossing This is urgent.,OFF007,High,2
CMP0367,This problem exists since many months. Stray dogs are attacking people near the school Residents are very unhappy.,OFF005,High,1
CMP0368,We have complained before but no action. Trees fallen on road after storm blocking traffic Please resolve soon.,OFF001,High,1
CMP0369,This is affecting many families. Bus number 45 has not been running for two weeks This is urgent.,OFF007,Medium,7
CMP0370,This problem exists since many months. Water is coming brown and smelly from taps Please resolve soon.,OFF004,High,1
CMP0371,Water is coming brown and smelly from taps,OFF004,High,4
CMP0372,This problem exists since many months. Local train always delayed causing problems,OFF007,Medium,11
CMP0373,This is affecting many families. Hospital waste being dumped in open area,OFF006,High,1
CMP0374,Kindly take immediate action. Drainage blocked causing flooding in low areas This is urgent.,OFF001,High,3
CMP0375,Please look into this urgently. Smoke from unauthorized factory affecting lungs This is urgent.,OFF008,High,1
CMP0376,Kindly take immediate action. Suspicious activity near abandoned building,OFF005,Medium,2
CMP0377,We have complained before but no action. Water supply is disrupted in sector 5 since 3 days This is urgent.,OFF004,High,1
CMP0378,This problem exists since many months. There is a dengue outbreak in our ward Many complaints already filed.,OFF006,High,3
CMP0379,This problem exists since many months. Construction dust causing breathing problems Many complaints already filed.,OFF008,High,2
CMP0380,This problem exists since many months. Bus stand has no seating and no shelter Please resolve soon.,OFF007,Low,31
CMP0381,Kindly take immediate action. Potholes on highway causing vehicle damage Many complaints already filed.,OFF001,High,4
CMP0382,Kindly take immediate action. Water supply is disrupted in sector 5 since 3 days Residents are very unhappy.,OFF004,High,3
CMP0383,This problem exists since many months. There is a dengue outbreak in our ward Please resolve soon.,OFF006,High,1
CMP0384,Manhole cover missing on the street is dangerous,OFF001,High,3
CMP0385,This problem exists since many months. Children are falling sick due to contaminated water Many complaints already filed.,OFF004,High,1
CMP0386,We have complained before but no action. Electricity bill is much higher than usage This is urgent.,OFF003,Low,16
CMP0387,We have complained before but no action. Theft of manhole covers reported multiple times Many complaints already filed.,OFF005,Medium,4
CMP0388,Please look into this urgently. Traffic signals not working at main crossing This is urgent.,OFF007,High,1
CMP0389,Expired medicines found at government hospital,OFF006,High,3
CMP0390,Transformer in our locality is making sparks Many complaints already filed.,OFF003,High,1
CMP0391,Please look into this urgently. Traffic signals not working at main crossing Many complaints already filed.,OFF007,High,2
CMP0392,We have complained before but no action. Trees fallen on road after storm blocking traffic,OFF001,High,1
CMP0393,Potholes on highway causing vehicle damage Residents are very unhappy.,OFF001,High,5
CMP0394,Kindly take immediate action. Expired medicines found at government hospital This is urgent.,OFF006,High,2
CMP0395,Please look into this urgently. Children are falling sick due to contaminated water,OFF004,High,2
CMP0396,We have complained before but no action. Streetlights on MG Road are not working for the past week This is urgent.,OFF003,Medium,5
CMP0397,We have complained before but no action. Auto drivers are overcharging passengers,OFF007,Low,10
CMP0398,This is affecting many families. Mosquito breeding in stagnant water near park Please resolve soon.,OFF006,Medium,3
CMP0399,Please look into this urgently. Water meter is giving wrong readings Many complaints already filed.,OFF004,Low,13
CMP0400,This problem exists since many months. Traffic signals not working at main crossing Please resolve soon.,OFF007,High,4
